asin,brandName,title,fetchedBrandName,link,matchedWord,brandExist
B0DXR4W7SR,Southeast Asia Food SAFG,"Insider’s handbook Phuket 2025/2026: Things to keep in mind prior to your visit, What to See and Do, Where to Stay Safe, Budget, Historic Sites, Delicious Food, and More",Not Found,https://www.amazon.com/Insiders-handbook-Phuket-2025-2026-ebook/dp/B0DXR4W7SR/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-5,Word 3,No
B0FBMKPRVD,Southeast Asia Food SAFG,Call Me Lumpia Queen - Spring Roll Eater Women Asian Food PopSockets PopWallet for MagSafe,Retro Fried Wrappers And Spring Roll Lumpia,https://www.amazon.com/Call-Lumpia-Queen-PopSockets-PopWallet/dp/B0FBMKPRVD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-6,Word 2,No
B0FBL6KSJZ,Southeast Asia Food SAFG,Vaguelly Woven Storage Pouch with Lid Small Candy Tea Organizer Southeast Asian Style Practical Lightweight Design for Weddings Snacks,Vaguelly,https://www.amazon.com/Vaguelly-Organizer-Southeast-Practical-Lightweight/dp/B0FBL6KSJZ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-7,Word 1,No
B07DTJ4JGN,Blueprint Installations,Adir Blueprint Wall Rack - Blueprint Plans Organizer and Construction Plan Holder - Poster Display and Map Rack for Office and Home (Without Blueprint Clamps),Not Found,https://www.amazon.com/Adir-Wall-Mount-Blueprint-Storage/dp/B07DTJ4JGN/ref=sr_1_2?dib=eyJ2IjoiMSJ9.HAbSfp0EqYK73IT2-NYZfsf2tXl_RIHsor2vDGLumsqJZcsuLm4bisdC1roF1VLChAbtwWi4Wjzo1FqDA9RvjFAM_tJbCpPgOMC5RqX-Jr_bQGCP43hUXeIkOrNhlJb8cNBos6ukJ7Uz6Shy-bw00fNElsEdsBV34mYk8d1fdOz2BjsVxpxrYJ-nWW3HrE7rzQpxEfjnRN1kyU7r3g-usBx8hKUEzH26_o6rejeqOWI.g3cUBkO-nbK2DBP7jsGU2cKaHWvZlLga7edN5CAATao&dib_tag=se&keywords=Blueprint+Installations&qid=1749552284&sr=8-2,Word 1,No
B0DPRFLVGX,Blueprint Installations,Epoxy Geeks: The Blueprint from Start to Finish,Not Found,https://www.amazon.com/Epoxy-Geeks-Blueprint-Start-Finish/dp/B0DPRFLVGX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.HAbSfp0EqYK73IT2-NYZfsf2tXl_RIHsor2vDGLumsqJZcsuLm4bisdC1roF1VLChAbtwWi4Wjzo1FqDA9RvjFAM_tJbCpPgOMC5RqX-Jr_bQGCP43hUXeIkOrNhlJb8cNBos6ukJ7Uz6Shy-bw00fNElsEdsBV34mYk8d1fdOz2BjsVxpxrYJ-nWW3HrE7rzQpxEfjnRN1kyU7r3g-usBx8hKUEzH26_o6rejeqOWI.g3cUBkO-nbK2DBP7jsGU2cKaHWvZlLga7edN5CAATao&dib_tag=se&keywords=Blueprint+Installations&qid=1749552284&sr=8-3,Word 1,No
B00K02QJIU,Blueprint Installations,Installation Preparedness for Weapons of Mass Destruction. Installation Commanders' Blueprint,Not Found,https://www.amazon.com/Installation-Preparedness-Destruction-Commanders-Blueprint/dp/B00K02QJIU/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HAbSfp0EqYK73IT2-NYZfsf2tXl_RIHsor2vDGLumsqJZcsuLm4bisdC1roF1VLChAbtwWi4Wjzo1FqDA9RvjFAM_tJbCpPgOMC5RqX-Jr_bQGCP43hUXeIkOrNhlJb8cNBos6ukJ7Uz6Shy-bw00fNElsEdsBV34mYk8d1fdOz2BjsVxpxrYJ-nWW3HrE7rzQpxEfjnRN1kyU7r3g-usBx8hKUEzH26_o6rejeqOWI.g3cUBkO-nbK2DBP7jsGU2cKaHWvZlLga7edN5CAATao&dib_tag=se&keywords=Blueprint+Installations&qid=1749552284&sr=8-4,Word 1,No
B0006C07KA,Blueprint Installations,"Electrical trades; blueprint reading: code, theory, installation--residential",Not Found,https://www.amazon.com/Electrical-trades-blueprint-reading-installation-residential/dp/B0006C07KA/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HAbSfp0EqYK73IT2-NYZfsf2tXl_RIHsor2vDGLumsqJZcsuLm4bisdC1roF1VLChAbtwWi4Wjzo1FqDA9RvjFAM_tJbCpPgOMC5RqX-Jr_bQGCP43hUXeIkOrNhlJb8cNBos6ukJ7Uz6Shy-bw00fNElsEdsBV34mYk8d1fdOz2BjsVxpxrYJ-nWW3HrE7rzQpxEfjnRN1kyU7r3g-usBx8hKUEzH26_o6rejeqOWI.g3cUBkO-nbK2DBP7jsGU2cKaHWvZlLga7edN5CAATao&dib_tag=se&keywords=Blueprint+Installations&qid=1749552284&sr=8-5,Word 1,No
B000KTUAZG,Blueprint Installations,"Blueprint Reading for the Machine Trade: a Practical Handbook on Reading Working Drawings, Assembly Drawings, Scale Drawings, Manufacturing Drawings, Tool Drawings, Installation Drawings",Not Found,https://www.amazon.com/Blueprint-Reading-Machine-Trade-Manufacturing/dp/B000KTUAZG/ref=sr_1_6?dib=eyJ2IjoiMSJ9.HAbSfp0EqYK73IT2-NYZfsf2tXl_RIHsor2vDGLumsqJZcsuLm4bisdC1roF1VLChAbtwWi4Wjzo1FqDA9RvjFAM_tJbCpPgOMC5RqX-Jr_bQGCP43hUXeIkOrNhlJb8cNBos6ukJ7Uz6Shy-bw00fNElsEdsBV34mYk8d1fdOz2BjsVxpxrYJ-nWW3HrE7rzQpxEfjnRN1kyU7r3g-usBx8hKUEzH26_o6rejeqOWI.g3cUBkO-nbK2DBP7jsGU2cKaHWvZlLga7edN5CAATao&dib_tag=se&keywords=Blueprint+Installations&qid=1749552284&sr=8-6,Word 1,No
B00ERF4M4Y,Blueprint Installations,"Electrical equipment of the motor car; a textbook and working guide on the installation, care and repair of the starting, lighting and ignition systems of all cars, with 256 blueprint wiring diagrams.",Not Found,https://www.amazon.com/Electrical-equipment-installation-blueprint-diagrams/dp/B00ERF4M4Y/ref=sr_1_9?dib=eyJ2IjoiMSJ9.HAbSfp0EqYK73IT2-NYZfsf2tXl_RIHsor2vDGLumsqJZcsuLm4bisdC1roF1VLChAbtwWi4Wjzo1FqDA9RvjFAM_tJbCpPgOMC5RqX-Jr_bQGCP43hUXeIkOrNhlJb8cNBos6ukJ7Uz6Shy-bw00fNElsEdsBV34mYk8d1fdOz2BjsVxpxrYJ-nWW3HrE7rzQpxEfjnRN1kyU7r3g-usBx8hKUEzH26_o6rejeqOWI.g3cUBkO-nbK2DBP7jsGU2cKaHWvZlLga7edN5CAATao&dib_tag=se&keywords=Blueprint+Installations&qid=1749552284&sr=8-9,Word 1,No
B001DYM352,Blueprint Installations,Jibaro / Blueprints for a Nation: Installations--Adal,Not Found,https://www.amazon.com/Jibaro-Blueprints-Nation-Installations-Adal-Maldonado/dp/B001DYM352/ref=sr_1_10?dib=eyJ2IjoiMSJ9.HAbSfp0EqYK73IT2-NYZfsf2tXl_RIHsor2vDGLumsqJZcsuLm4bisdC1roF1VLChAbtwWi4Wjzo1FqDA9RvjFAM_tJbCpPgOMC5RqX-Jr_bQGCP43hUXeIkOrNhlJb8cNBos6ukJ7Uz6Shy-bw00fNElsEdsBV34mYk8d1fdOz2BjsVxpxrYJ-nWW3HrE7rzQpxEfjnRN1kyU7r3g-usBx8hKUEzH26_o6rejeqOWI.g3cUBkO-nbK2DBP7jsGU2cKaHWvZlLga7edN5CAATao&dib_tag=se&keywords=Blueprint+Installations&qid=1749552284&sr=8-10,Word 1,No
